question,options,prediction_date,ground_truth,resolution_detail,question_id,event_id,domain,event_name,event_summary,source_urls,risk_flags,review_status,review_notes
"As of 2026-05-06, which participation status will the International Olympic Committee set for Belarusian athletes for the Olympic Games from 2028?",A. Belarusian athletes permitted without Belarus-specific IOC Olympic participation restrictions; B. Belarusian athletes limited to individual neutral participation only; C. Belarusian athletes barred from Olympic participation; D. No change or decision deferred,2026-05-06,A,"On 2026-05-07, the IOC lifted restrictions on Belarusian athletes for Olympic participation from 2028, placing the outcome in option A.",19ad4500bed5f1ba795c,69353773f13740d00d9d,sports,IOC decision on Belarusian athletes' Olympic eligibility from 2028,"2026-05-07 | wikipedia_current_events | Belarus at the Olympics | The International Olympic Committee lifts restrictions on Belarusian athletes participating in the Olympic Games from 2028, while Russian athletes remain limited to individual neutral participation because of the Russian Olympic Committee 's suspension. (AFP via RFI)",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_7; https://www.bbc.com/sport/olympics/articles/cy82720dnydo; https://www.rfi.fr/en/olympic-games/20260507-ioc-lifts-olympic-ban-on-belarus-but-russia-still-suspended,,unreviewed,
"As of 2026-05-06, what will be the vote margin on the no-confidence motion against Solomon Islands Prime Minister Jeremiah Manele?",A. Motion defeated or tied; B. Motion passes by 1-4 votes; C. Motion passes by 5-8 votes; D. Motion passes by 9 or more votes,2026-05-06,B,"The no-confidence motion passed by 26 votes to 22, a margin of 4 votes, placing it in the 1-4 vote range.",3ed9a0697e5652e26c98,da1a6f1fb49b9e3dcd7f,politics,Solomon Islands no-confidence vote against Prime Minister Jeremiah Manele,"2026-05-07 | wikipedia_current_events | MPs | Manele is ousted from the premiership following a successful no-confidence motion of 26–22, with two MPs absent. Manele remains as caretaker prime minister until governor-general David Tiva Kapu declares a new prime minister.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_7; https://www.reuters.com/world/china/solomon-islands-pm-ousted-after-losing-confidence-vote-2026-05-07/,,unreviewed,
"As of 2026-05-06, what formal ruling will the U.S. Court of International Trade issue on President Donald Trump's 10% global tariffs by the end of 2026-05-07?",A. Uphold the tariffs as lawful; B. Rule the tariffs illegal; C. Dismiss or otherwise decline to reach the legality merits; D. Issue no ruling by the end of 2026-05-07,2026-05-06,B,"On 2026-05-07, the U.S. Court of International Trade ruled that Trump's 10% global tariffs were illegal, matching option B.",6896163188f58e609b2b,8a90ceaf089a032d8008,politics,U.S. Court of International Trade ruling on Trump's 10% global tariffs,2026-05-07 | wikipedia_current_events | Tariffs in the second Trump administration | The U.S. Court of International Trade rules that the 10% global tariffs imposed by president Donald Trump are illegal.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_7; https://www.nytimes.com/2026/05/07/business/economy/trump-global-tariff-ruled-illegal.html,,unreviewed,
"As of 2026-05-06, which party will win the most seats in the 2026 Scottish Parliament election?",A. Scottish National Party; B. Scottish Labour; C. Scottish Conservatives; D. Another party,2026-05-06,A,"Results reported on May 8 showed the Scottish National Party claiming victory in Scotland, making it the party that won the election rather than Labour, the Conservatives, or another party.",48c52d15628db0bb5ee4,e53cbb2bf3a166f1a3cd,politics,2026 Scottish Parliament election,"2026-05-08 | wikipedia_current_events | 2026 Scottish Parliament election | The Labour Party concedes defeat in Wales with Plaid Cymru and Reform UK making significant gains, while the nationalist Scottish National Party claims victory in Scotland. (BBC News)",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_8; https://www.bbc.co.uk/news/live/c1428pev1n0t; https://www.reuters.com/world/uk/divided-kingdom-pro-independence-parties-surge-across-britain-2026-05-08/,,unreviewed,
"As of 2026-05-06, which party will win the most seats in the 2026 Senedd election in Wales?",A. Welsh Labour; B. Plaid Cymru; C. Welsh Conservatives; D. Another party,2026-05-06,B,"Plaid Cymru claimed victory in the 2026 Senedd election, making Plaid Cymru the party that won the most seats.",2a86124230034657d516,e53cbb2bf3a166f1a3cd,politics,2026 Senedd election,2026-05-08 | wikipedia_current_events | 2026 Scottish Parliament election | Welsh Labour leader and First Minister of Wales Eluned Morgan resigns after losing her seat in the Senedd as Plaid Cymru claims victory in Wales.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_8; https://www.thenational.scot/news/26090656.welsh-labour-leader-eluned-morgan-loses-seat-senedd-elections/,,unreviewed,
"As of 2026-05-08, which party or affiliation will the winning candidate represent in the 2026 Farrer by-election for the Australian House of Representatives?",A. One Nation; B. Liberal Party; C. The Nationals; D. Australian Labor Party; E. Another party or independent,2026-05-08,A,"David Farley won the Farrer by-election as a One Nation candidate, placing the result in option A.",f7f977dce64689ecdea2,4bb49bab2b830b5616ec,politics,2026 Farrer by-election,2026-05-09 | wikipedia_current_events | 2026 Farrer by-election | MP David Farley becomes the first One Nation candidate elected to the Australian House of Representatives.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_9; https://www.abc.net.au/news/2026-05-09/farrer-sat-night-results/106656856,,unreviewed,
"As of 2026-05-08, which person will the Hungarian National Assembly elect as speaker at its first sitting after the 2026 parliamentary election?",A. LÃ¡szlÃ³ KÃ¶vÃ©r; B. Ãgnes Forsthoffer; C. Another member of parliament; D. No speaker is elected at that sitting,2026-05-08,B,"At the May 9, 2026 reconvening of the National Assembly, Ãgnes Forsthoffer was elected speaker, so option B is correct.",3ea50c9be98a74149a83,fe60c220577d14ed82bd,politics,2026 Hungarian National Assembly speaker election,2026-05-09 | wikipedia_current_events | 2026 Hungarian parliamentary election | The National Assembly of Hungary reconvenes for the first time since the election as elected members are sworn in. Ágnes Forsthoffer is elected as speaker.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_9; https://bbj.hu/politics/domestic/parliament/agnes-forsthoffer-elected-speaker-only-2nd-woman-to-hold-role/,,unreviewed,
"As of 2026-04-01, which political figure will be sworn in as Hungary's prime minister following the 2026 parliamentary election?",A. Viktor OrbÃ¡n; B. PÃ©ter Magyar; C. Another figure,2026-04-01,B,"PÃ©ter Magyar of the Tisza Party was sworn in as Hungary's prime minister on May 9, 2026, ending Viktor OrbÃ¡n's tenure.",156af322476cd9f76373,30369262b7372722b75e,politics,2026 Hungarian parliamentary election and prime ministerial swearing-in,"2026-05-09 | wikipedia_current_events | 2026 Hungarian parliamentary election / Magyar Government | Péter Magyar of the Tisza Party is sworn in as the prime minister of Hungary, ending the 16-year tenure of Fidesz 's Viktor Orbán.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_9; https://www.reuters.com/world/magyar-sworn-hungarys-prime-minister-promises-change-2026-05-09/,,unreviewed,
"As of 2026-05-10, who will be elected Catholicos-Patriarch of All Georgia in the 2026 Georgian patriarchal election?",A. Shio III; B. A different candidate; C. No Catholicos-Patriarch is elected in the election,2026-05-10,A,"On May 11, 2026, Shio III was elected Catholicos-Patriarch of All Georgia, placing the result in option A.",2362a2ef600a510b3cad,b143860296fdbb06a7c2,politics,2026 Georgian patriarchal election,"2026-05-11 | wikipedia_current_events | 2026 Georgian patriarchal election | Shio III is elected Catholicos-Patriarch of All Georgia, becoming head of the Georgian Orthodox Church.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_11; https://www.reuters.com/world/georgia-elects-new-patriarch-influential-orthodox-church-2026-05-11/,,unreviewed,
"As of 2026-05-11, which party will win the most seats in the 2026 Bahamian general election for the 41-seat House of Assembly?",A. Progressive Liberal Party; B. Free National Movement; C. Another party or no single party wins the most seats,2026-05-11,A,"Prime Minister Philip Davis was re-elected for a second consecutive term, meaning his Progressive Liberal Party won the election and the most seats.",e08e9404c41e4a1ea0b9,b6b86da80d89bed8fbf3,politics,2026 Bahamian general election,2026-05-12 | wikipedia_current_events | 2026 Bahamian general election | Bahamians vote to elect 41 seats of the House of Assembly. Incumbent prime minister Philip Davis becomes the first prime minister to be re-elected for a second consecutive term in office since 1997.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_12; https://www.reuters.com/world/americas/bahamians-vote-snap-election-pm-davis-seeks-rare-second-term-2026-05-12/,,unreviewed,
"As of 2026-04-11, which politician will be prime minister of the Hungarian government that takes office after the 2026 parliamentary election?",A. Viktor OrbÃ¡n; B. PÃ©ter Magyar; C. KlÃ¡ra Dobrev; D. Another person,2026-04-11,B,"On May 12, 2026, ministers of the new Cabinet of Prime Minister PÃ©ter Magyar were sworn in and took office, so the correct option is PÃ©ter Magyar.",38ac0ed902425b757935,69ca4d0f1733de35aa6b,politics,PÃ©ter Magyar's cabinet takes office after the 2026 Hungarian parliamentary election,2026-05-12 | wikipedia_current_events | 2026 Hungarian parliamentary election / Magyar Government | Ministers of the new Cabinet of Prime Minister Péter Magyar are sworn in and take office.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_12; https://apnews.com/article/hungary-government-takes-office-magyar-orban-6207293383e991b96c64e94ef425f10c,,unreviewed,
"As of 2026-05-12, what will Dalton Tagelagi's winning margin be in the Niue Assembly vote for prime minister on May 13, 2026?",A. Tagelagi does not win the vote; B. Tagelagi wins by 1-2 votes; C. Tagelagi wins by 3-5 votes; D. Tagelagi wins by 6 or more votes,2026-05-12,B,"Dalton Tagelagi was re-elected prime minister by an 11-9 Assembly vote, giving him a winning margin of 2 votes.",4e35b99aa1969cb26283,e61e97adf8e49df5a67f,politics,2026 Niuean prime minister selection vote,2026-05-13 | wikipedia_current_events | 2026 Niuean general election | Niuean prime minister Dalton Tagelagi is re-elected for a third term in office following a vote of 11–9.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_13; https://pmn.co.nz/read/election/tagelagi-secures-third-term-as-niue-pm-after-tightly-split-assembly-vote,,unreviewed,
"As of 2026-05-12, how will the court resolve the challenge to Elections Alberta's approval of the Alberta independence referendum petition?",A. Uphold Elections Alberta's approval of the petition as valid; B. Find Elections Alberta's approval improper or invalid; C. Dismiss or defer the challenge without ruling on the approval's validity,2026-05-12,B,"On May 13, 2026, a Canadian judge ruled that Elections Alberta improperly approved the independence referendum petition because Indigenous groups had not been consulted.",f800f5e36df3a9cf11ab,5d8391c31f79af6ad5a2,politics,Court ruling on Elections Alberta approval of independence referendum petition,2026-05-13 | wikipedia_current_events | Alberta separatism | A Canadian judge rules that Elections Alberta improperly approved a petition seeking a referendum on provincial independence without consulting Indigenous groups.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_13; https://www.manilatimes.net/2026/05/14/world/americas-emea/canada-judge-deals-blow-to-alberta-separatist-bid/2343508,unclear_resolution_criteria,unreviewed,
"As of 2026-05-12, what publicly reported status will the UK- and US-mediated talks in Mogadishu between President Hassan Sheikh Mohamud and the opposition led by Said Abdullahi Deni have by the end of May 13, 2026?",A. The talks produce a reported agreement; B. The talks remain ongoing or adjourn without a final reported outcome; C. The talks break down or collapse without an agreement,2026-05-12,C,"On May 13, 2026, reports stated that the mediated talks had broken down without an agreement, matching option C.",344cd446e5141facede6,f9203fcb80824735d1f8,politics,Outcome of UK- and US-mediated Somalia electoral-framework talks in Mogadishu,"2026-05-13 | wikipedia_current_events | Constitutional crisis in Somalia / Controversies of Hassan Sheikh Mohamud | United Kingdom and United States -mediated talks in Mogadishu, Somalia, between president Hassan Sheikh Mohamud and the opposition led by regional president Said Abdullahi Deni have broken down without an agreement. The deadlock centres on bitter disputes over the country's upcoming electoral framework, technical delays, and regional vote-rigging accusations in South West State of Somalia. (Garowe Online)",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_13; https://www.garoweonline.com/en/news/somalia/somalia-mogadishu-talks-collapse-as-election-deadlock-deepens-ahead-of-critical-deadline; https://www.somaliguardian.com/news/somalia-news/somalias-rivals-gather-in-mogadishu-for-u-s-mediated-talks-as-nation-faces-a-constitutional-crisis/,,unreviewed,
"As of 2026-05-12, what sentence will a U.S. court impose on Kouri Richins for the murder of Eric Richins at her May 13, 2026 sentencing?",A. Death sentence; B. Life imprisonment without parole; C. Life imprisonment with the possibility of parole; D. A fixed-term prison sentence or no prison sentence,2026-05-12,B,"On May 13, 2026, the court sentenced Kouri Richins to life imprisonment without parole, matching option B.",5951aa26693e68c86ce2,4ba93a01c9ff53753b51,public_risk,Kouri Richins sentencing for the murder of Eric Richins,2026-05-13 | wikipedia_current_events | Murder of Eric Richins | A U.S. court sentences author Kouri Richins to life imprisonment without parole after convicting her of murdering her husband with fentanyl in 2022.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_13; https://www.abs-cbn.com/news/world/2026/5/14/us-children-s-book-author-sentenced-to-life-after-poisoning-husband-1335,,unreviewed,
"As of 2026-05-12, what disposition will the South Carolina Supreme Court make regarding Alex Murdaugh's sentence in the jury-interference challenge?",A. Leave the sentence in place; B. Overturn the sentence; C. Remand or defer without overturning the sentence,2026-05-12,B,"On May 13, 2026, the South Carolina Supreme Court overturned Alex Murdaugh's sentence, citing jury interference by a court clerk, which matches option B.",c2e693c6560ebc4c2d60,cf057b08248412ca2d44,public_risk,South Carolina Supreme Court ruling on Alex Murdaugh jury-interference claims,"2026-05-13 | wikipedia_current_events | South Carolina Supreme Court | The South Carolina Supreme Court overturns the sentence of Alex Murdaugh, convicted in 2023 for the 2021 double homicide of his wife and son, citing jury interference by a court clerk. Motions are made for a new trial.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_13; https://www.nytimes.com/2026/05/13/us/murdaugh-murder-conviction-overturned.html,,unreviewed,
"As of 2026-05-12, how many senators will vote in favor of the War Powers Resolution seeking to curtail President Donald Trump's war powers in the Iran war when the Senate considers it on May 13, 2026?",A. 45 or fewer senators; B. 46-48 senators; C. 49-51 senators; D. 52 or more senators,2026-05-12,C,"The Senate vote was 49-50, meaning 49 senators voted in favor of the resolution, which falls in the 49-51 senators range.",9593255bc8628003f590,f28c6406bb64a007f12f,politics,U.S. Senate vote on Iran War Powers Resolution,"2026-05-13 | wikipedia_current_events | U.S. Senate | The U.S. Senate blocks a War Powers Resolution to curtail president Donald Trump 's war powers in the Iran war for a 7th time in a 49–50 vote, with John Fetterman being the lone Democrat senator to vote against it.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_13; https://apnews.com/article/iran-war-congress-lisa-murkowski-3efd8b6bc1834a66eca8526a0a9b3ffe,,unreviewed,
"As of 2026-05-13, whom will Fatah's Eighth General Conference elect as chairperson?",A. Mahmoud Abbas; B. A different person; C. No chairperson is elected at the conference,2026-05-13,A,"On May 14, 2026, Fatah's Eighth General Conference unanimously re-elected Mahmoud Abbas as chairperson, matching option A.",6ee4f03300b7901e9c6d,facd69b4723bebb60ed8,politics,Fatah Eighth General Conference chairperson election,2026-05-14 | wikipedia_current_events | Eighth General Conference of Fatah | Palestinian president Mahmoud Abbas is unanimously re-elected as chairperson of the Fatah movement.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_14; https://english.wafa.ps/Pages/Details/170455,,unreviewed,
"As of 2026-05-14, what length of ceasefire extension will the United States publicly announce for Israel and Lebanon by May 15, 2026?",A. No ceasefire extension announced; B. 1-30 days; C. 31-60 days; D. More than 60 days,2026-05-14,C,"On May 15, 2026, the United States announced that Israel and Lebanon had agreed to extend their ceasefire for 45 days, which falls in the 31-60 days range.",67fe8597c5876880e1b8,fcb985c4e10bfc5096e5,politics,Israel-Lebanon ceasefire extension announcement,"2026-05-15 | wikipedia_current_events | 2026 Israel–Lebanon peace talks | The United States announces that Israel and Lebanon agreed to extend their ceasefire for 45 days, and that more specific political and security negotiations will begin on May 29 and June 2, respectively. (Times of Israel)",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_15; https://www.pbs.org/newshour/world/israel-and-lebanon-agree-to-45-day-extension-of-ceasefire-u-s-state-department-says; https://www.timesofisrael.com/liveblog_entry/us-announces-45-day-extension-of-porous-lebanon-ceasefire-after-3rd-round-of-beirut-jlem-talks/,,unreviewed,
"As of 2026-05-14, which trade-related outcome will Chinese officials publicly announce following the Xi-Trump talks in Beijing during Trump's 2026 state visit to China?",A. No publicly announced trade agreement or council mechanism; B. Agreement only to keep implementing existing trade agreements; C. Agreement to keep implementing existing trade agreements and establish trade and investment councils; D. Announcement of a new comprehensive trade agreement replacing prior agreements,2026-05-14,C,"On May 15, 2026, Wang Yi said China and the United States agreed to continue implementing previous trade agreements and to establish trade and investment councils, matching option C.",869d772a0662bd4c9f20,0c464f85c8d125d5afe9,politics,Trade outcome of Xi-Trump talks during Trump's 2026 China state visit,2026-05-15 | wikipedia_current_events | 2026 state visit by Donald Trump to China | Wang Yi says that China and the United States have agreed to continue implementing previous trade agreements and to establish trade and investment councils following talks between Chinese leader Xi Jinping and U.S. president Donald Trump in Beijing.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_15; https://english.alarabiya.net/News/world/2026/05/15/china-says-agrees-with-us-to-implement-all-existing-trade-agreements,,unreviewed,
"As of 2026-05-14, who will be prime minister of Solomon Islands after the parliamentary no-confidence process on May 15, 2026?",A. Matthew Wale; B. Jeremiah Manele; C. Another member of Parliament,2026-05-14,A,"On May 15, 2026, Jeremiah Manele was ousted in a no-confidence vote and Matthew Wale was elected and appointed prime minister, matching option A.",9eb40b9042ccd8432b5b,9dd5923c42b5c1ff6ed3,politics,2026 Solomon Islands prime ministerial change after no-confidence vote,2026-05-15 | wikipedia_current_events | Matthew Wale | Matthew Wale is appointed as the prime minister of Solomon Islands after Jeremiah Manele was ousted in a no-confidence vote.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_15; https://www.theguardian.com/world/2026/may/15/matthew-wale-elected-solomon-islands-prime-minister,,unreviewed,
